サイト名,店舗名,住所(アクセス含む),電話番号,説明文,料金表の下の説明文,画像URL,タイプ,広さ(約畳）,広さ(幅ｘ奥行ｘ高さ),月額料金,キャンペーン料金,空き状況
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,Box-2,0.00,,4700,3290,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,Box-3,0.00,,6300,4410,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,0.4畳,0.40,,8200,5740,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,0.5畳,0.50,,10000,7000,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,0.7畳,0.70,,11800,8260,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,0.8畳,0.80,,13800,9660,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,1畳,1.00,,15800,11060,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,1.3畳,1.30,,17700,12390,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,1.6畳,1.60,,21300,14910,○
"キュラーズ ",キュラーズ中野野方店（東京都中野区）,"東京都中野区丸山2-5-19 西武新宿線「野方駅」北口より徒歩7分",0120-15-9773,"トランクルーム・キュラーズ中野野方店を選ぶ理由 西武新宿線「野方駅」北口より徒歩7分！ 環七通り沿い！ 無料駐車場完備！ 2016年4月にオープンした中野店に次ぐ、中野区エリア2号店となります。環七通り沿い、野方駅から徒歩7分と車、電車ともにアクセス抜群の場所に位置しております。人気の中野区エリアの需要に応えるべく、高品質なトランクルームサービスを提供します。 大変多くのお申込みが予想されますので、近隣にてトランクルームをご検討中の方は是非お早めにお問い合わせ下さい。","☆初期費用は、最初の利用料（初月日割り分＋翌月分）とセキュリティカード代金2,300円（税抜）となります。 ☆キャンペーンは、お問合せ先着100名様で新規お申し込みの方のみ、初期費用期間の翌月から適用となります。（例：1/15利用開始の場合、3/1から適用） ☆キュラーズでは、管理費・事務手数料などが不要なので低予算で最短1ヶ月からの短期利用が可能です！ ☆利便性の良い1階や店舗特有の収納スペース等は、上記料金と異なる場合があります。 ☆上記以外も多数のタイプあり！お得な最新情報は、コールセンターでご案内中！",http://www.quraz.com/tokyo/image/_nogata/photo01.jpg;http://www.quraz.com/tokyo/image/_nogata/photo02.jpg;http://www.quraz.com/tokyo/image/_nogata/photo03.jpg;http://www.quraz.com/tokyo/image/_nogata/photo04.jpg;http://www.quraz.com/tokyo/image/_nogata/photo05.jpg;http://www.quraz.com/tokyo/image/_nogata/photo06.jpg;http://www.quraz.com/tokyo/image/_nogata/photo07.jpg,2畳,2.00,,26600,18620,○
